Deficiency Name,Deficiency,Corrective Action,Action Taken,Unit,Unit Cost
BUR Failing at Perimeter (LF) - Karnak,Identified a (1 LF) area of the built-up roof that is failing near the wall or perimeter of the roofing system. [These deficiencies can be considered early warning signs of a roofing system that is near the end of its useful life-cycle],"Spud, clean, and prepare the entire area. Apply a multi-layer Karnak Ultra-19 repair. One (1) base layer of Karnak Ultra-19, one (1) layer of fiberglass reinforcement fabric, one (1) additional layer of Karnak Ultra-19, and a top coat of white asphalt granules for added durability.","Spudded away the existing gravel from the entire affected area. Thoroughly prepared the repair area by clearing all remaining dirt and debris. Applied a base layer of Karnak Ultra-19 and embedded new fiberglass reinforcement fabric into the Karnak Ultra-19 base layer. After allowing the base layer and fabric time to cure, we applied a final layer of Karnak Ultra-19. Finally, we covered all of the repaired areas with a top coat of white asphalt granules.",LF,$70.00
Clean Gutters,Clean gravel from gutters,Cleaned and removed all gravel from gutters.,Cleaned and removed all gravel from gutters.,LF,$1.00
Clogged Scupper/Drain/Gutter,"The existing scupper, drain, or gutter has become clogged and is no longer functioning properly.","The scupper, drain, or gutter area must be cleaned and all debris removed to ensure water drains from the roof properly. This is to be part of a routine roof maintenance program.",,EA,$250.00
Closure Strip,Missing and deteriorated closure strip.,"Un-screw base flashing, remove old closure strip. Install new pre-formed foam closure strip, re-secure base flashing.",,LF,$9.50
Condense Lines,Attach and/or repair all loose or missing condense lines.,Reattached and repaired all loose and missing condensation lines on the roof.,Reattached and repaired all loose and missing condensation lines on the roof.,EA,$0.00
Counterflashing Caulk Failure,Caulking at counter flashing is failing and allowing water in.,"We will remove the old caulking, prime the area and install new NP-1 to ensure water tightness.",,SF,$1.75
Cover Plates - Metal Coping,"Due to the extended exposure to outside weather conditions, the sealant at the metal cover plates or joints is beginning to crack.",Re-seal any joints or over plates - where needed.,,EA,$0.00
Cracked/Split Expansion Joint,Repair all cracked/split membrane at expansion joint.,Cleaned and primed the affected area(s). Installed new modified bitumen membrane patch(es) to repair the cracked/split membrane area(s) at the expansion joint.,Cleaned and primed the affected area(s). Installed new modified bitumen membrane patch(es) to repair the cracked/split membrane area(s) at the expansion joint.,LF,$0.00
Custom Grease Box,Restaurant exhausts are producing large amounts of grease and the existing grease traps are not sufficient. This grease is causing accelerated deterioration of the roofing membrane and needs to be addressed as quickly as possible.,"Custom fabricated and install new metal grease boxes to catch the excess grease. We will install a filter and aggregate to help keep the grease trapped inside the box during heavy rains. The filter and aggregate will need to be cleaned at least twice a year. For an additional charge, we can schedule this to be done 2x per year for an additional $250 each cleaning. Please contact the office to have this set up.","Custom fabricated and installed new metal grease box(es). Added a filter and aggregate inside of the box. Installed membrane slip sheet under the box to help provide protection to the existing roofing membrane. --- The filter and aggregate will need to be cleaned at least twice a year. For an additional charge, we can schedule this to be done 2x per year for an additional $250 each cleaning. Please contact the office to have this set up.",EA,$495.00
Damaged BUR Membrane - GAF,"Damaged BUR membrane - due to improperly installed fiberboard over metal decking - and insufficient plys in the BUR system. These issues have resulted in ""splits"" or ""open seams"" in the BUR layers and has allowed water to penetrate the roofing system.","The area(s) must be spudded, gravel swept away, primed and new GAF modified bitumen patches installed over the leaking splits/open seams.","Spudded, primed and installed new GAF modified bitumen patches over the leaking splits/open seams.",SF,$10.00
Damaged Coping,The existing coping has been damaged and has failed.,"Remove the existing coping and install new, like kind coping material per manufacturers recommendations and details.",,LF,$25.00
Damaged Skylight,Skylight dome is damaged and needs to be replaced.,We will replace the dome as needed,,SF,$20.00
Damaged/Split Field Membrane,Identified (1) damaged area in the modified bitumen roofing membrane field.,Clean & prepare the damaged membrane area. Repair with a new modified bitumen membrane patch to ensure a water-tight condition.,Cleaned & prepared the damaged membrane area. Repaired with a new modified bitumen membrane patch to ensure a water-tight condition.,EA,$175.00
Debris (loose),Loose debris has a high probability of blowing around on the roof and causing damage to the waterproofing membrane. Screws and other sharp debris may cause punctures when stepped on.,Remove loose debris from roof area,,EA,$350.00
Downspoouts,Install new downspouts painted to match existing gutters/trim/downspouts.,,,EA,$140.00
Drains/Scupper Open membrane,Open membrane laps at scupper / drain is open.,We will clean prime and seal open laps to ensure water tightness.,,EA,$200.00
Drive Pins / Fasteners,Install new drive pins in counter-flashing where head have been sheared off.,Extracted and replaced all affected counter-flashing drive pins/fasteners.,Extracted and replaced all affected counter-flashing drive pins/fasteners.,EA,$0.00
Edge Detail/Expansion Joint Separated,Roof membrane has separated from metal edge.,"We will remove the loose membrane, secure metal edge joint, clean and prime metal and install new material that extends 3"" onto roof to ensure water tightness.",,LF,$10.00
Expansion Joint Open,Expansion joints are open.,We will properly seal expansion joints to ensure water tightness.,,LF,$4.00
Exposed Felts,Typically wind displaces rock and exposes the underlying waterproofing membrane. As the membrane is exposed to UV and the elements it quickly breaks down allowing water in the system.,A new layer of hot asphalt and gravel is to be applied to ensure the waterproofing membrane remains viable.,,SF,$3.50
Exposed Felts,Resurface all areas of exposed felts.,Repaired all areas of exposed felts with a new layer of cold adhesive and gravel to ensure the waterproofing membrane and felts remain viable.,Repaired all areas of exposed felts with a new layer of cold adhesive and gravel to ensure the waterproofing membrane and felts remain viable.,EA,$0.00
Failed Base Wall Flashing,"Base wall flashing has failed. This is due to either improper installation, damage to the membrane, or failure to due the age of the roof.",Remove all metal wall flashing along the affected area. Remove all failed base wall flashing membrane and existing termination bar (if any). Spud/Clear and prime the field roofing membrane (up to 1 FT away from the wall). Install new torch applied modified bitumen base wall flashing membrane. Install new metal termination bar and new metal wall flashing and properly seal with caulking.,Removed and replaced failed base wall flashing membrane with new modified membrane (extending approx 1 FT out from the wall) and installed new metal termination bar. Replaced metal wall flashing with new metal flashing and properly sealed with caulking.,LF,$34.00
Failing Membrane/Seam(1) (field),Identified (1) failing seam/membrane in the field of the modified bitumen roofing system. [These deficiencies on a modified bitumen roofing system are usually warning signs of a roofing system that is near the end of its useful life-cycle],We will clean & prime the area surrounding the failed seam/membrane. Install new modified bitumen membrane patch and seal with asphalt-based roofing cement.,Cleaned & primed the area surrounding the failed seam/membrane. Installed new modified bitumen membrane patch,EA,$40.00
Failing Membrane/Seam(s) (field),Identified (2) failing seams/membrane in the field of the modified bitumen roofing system. [These deficiencies on a modified bitumen roofing system are usually warning signs of a roofing system that is near the end of its useful life-cycle],We will clean & prime the areas surrounding the failed seams/membrane. Install new modified bitumen membrane patches and seal with asphalt-based roofing cement.,Cleaned & primed the areas surrounding the failed seams/membrane. Installed new modified bitumen membrane patches,EA,$40.00
Failing Penetration,"Due to overall age, weathering and UV the penetration has failed.",The penetration should be repaired/flashed per industry standards to ensure a water tight seal.,,EA,$300.00
Failing Roof Jack,Identified failing roof jack penetration. This is either due to damage or corrosion to the metal roof jack base or top.,Spud away gravel from base of failed roof jack and up to 3' in all directions. Clean & prime the surrounding area and install new roof jack with new modified bitumen membrane target flashing. Seal around new modified membrane and new roof jack with asphalt based roofing cement.,Spud away gravel from base of failed roof jack and up to 3' in all directions. Cleaned & primed the surrounding area and installed a new roof jack with new modified bitumen membrane target flashing. Sealed around new modified membrane and new roof jack with asphalt based roofing cement.,EA,$200.00
Failing/Missing Fasteners,"As the building moves and flexes, the screws/fasteners will loosen up and eventually back out altogether resulting in water infiltration.","Lift and apply new double sided Karnak seal tape. Correctly install and seal new screws/fasteners, one size larger.","Lifted the metal panel, cleaned the area and applied new double sided Karnak seal tape. Replaced old and/or missing fasteners with new 1 size larger.",EA,$25.00
Failing/Missing Fasteners,As the building moves and flexes the fasteners will loosen up and eventually back out completely resulting in water infiltration.,"A new fastener, 1 size larger would be installed per industry standards to ensure a water tight seal.",,EA,$15.00
Flash Large Curb,"Flash Large Equipment Curb(s) into Existing TPO Roof System up to 24 lf. (Curbs to be provided, cut out and spotted bv others.) Flashing in excess of 24 LF at $15/LF.","Cut out roof system down to the metal deck.
Mechanically attach roof curb (provided by others) to deck using screws. (spotted by others)
Insulate roof curb as needed. Strip into new roof with roof membrane.
METAL DECK CUT BY OTHERS (UNLESS SPECIFICALLY IDENTIFIED IN SCOPE/MODIFIED BIT ADD $175 PER CURB)
EXLCUSIONS: FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$975.00
Flash Med Pipe Penetration - copy,"Flash Medium Plumbing Penetration(s) into Existing TPO Roof System (up to 4"") Per manufacturers requirements.","Plumber spots location and stubs pipe up. FSR Installs Roof Jack (supplied by plumber) and flashes pipe penetration into existing roof.
METAL DECK CUT BY OTHERS (UNLESS SPECIFICALLY IDENTIFIED IN SCOPE/MODIFIED BIT ADD $75 PER OPENING
EXLCUSIONS: FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$250.00
Flash Medium Curb,"Flash Medium Equipment Curb(s) into Existing TPO Roof System up to 16 lf. (Curbs to be provided, cut out and spotted bv others.)","Cut out roof system down to the metal deck.
Mechanically attach roof curb (provided by others) to deck using screws. (spotted by others)
Insulate roof curb as needed. Strip into new roof with roof membrane.
METAL DECK CUT BY OTHERS (UNLESS SPECIFICALLY IDENTIFIED IN SCOPE/MODIFIED BIT ADD $90 PER CURB)
EXLCUSIONS: FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$700.00
Flash Medium Curb-TPO,"Flash (1) Medium Equipment Curb(s) into Existing TPO Roof System. (up to 18lf) Curbs to be provided, cut out and spotted bv others.","Cut roof out and install curb to metal deck.
(Curbs provided and spotted by others.)
Insulate or flash as needed.
Add $10/lf for additional flashing
Deck cut by others unless specified on scope.

Cut Out Existing Roof. Insulate curb (as needed) and Fasten to EXCLUSIONS:
FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$0.00
Flash Small Curb,"Flash Small Equipment Curb(s) into Existing TPO Roof System up to 8 lf. (Curbs to be provided, cut out and spotted bv others.)","Cut out roof system down to the metal deck.
Mechanically attach roof curb (provided by others) to deck using screws. (spotted by others)
Insulate roof curb as needed. Strip into new roof with roof membrane.
METAL DECK CUT BY OTHERS (UNLESS SPECIFICALLY IDENTIFIED IN SCOPE/MODIFIED BIT ADD $75 PER CURB)
EXLCUSIONS: FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$400.00
Flash Small Pipe Penetration,"Flash Small Plumbing Penetration(s) into Existing TPO Roof System (up to 2"") Per manufacturers requirements.","Plumber spots location and stubs pipe up. FSR flashes pipe penetration into existing roof.
METAL DECK CUT BY OTHERS (UNLESS SPECIFICALLY IDENTIFIED IN SCOPE/MODIFIED BIT ADD $25 PER OPENING
EXLCUSIONS: FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$200.00
GAF Roof Replacement,"There's more to a roof than just the shingles. Ensure your home is fully protected and enjoy peace of mind for years to come with the fully integrated GAF Lifetime Roofing System.

Quote includes all of the listed items and options.

FSR Services will protect all landscaping and property. We will replace up to (3) sheets of rotten plywood at no charge. (additional plywood replacement will be extra)",,,EA,$0.00
Global Maintenance,"Section - Removal of debris from around drain covers and scuppers. Redistribute ballast. Caulk & seal all terminations & pipe seals. Seal & top off all pitch pans. Perform flashing maintenance. Seal any lifted edges on metal work. Caulk & seal all scuppers, drains and skylights. Caulk joints and other areas. Ensure all waterways are free flowing. Perform minor gutter repairs. Ensure HVAC drain lines are properly laid out and connected.",If needed on this section - remove all roof debris and attend to any/all of the roof maintenance items.,If needed on this section - remove all roof debris and attend to any/all of the roof maintenance items.,EA,$0.00
Gravel Stop Loose Membrane,Repair loose membrane along gravel stop,"Removed the loose membrane, secured metal edge joint, cleaned and primed metal and installed new modified bitumen material that extends 3"" onto roof to ensure water tightness and re adhered gravel surfaces at striping plies","Removed the loose membrane, secured metal edge joint, cleaned and primed metal and installed new modified bitumen material that extends 3"" onto roof to ensure water tightness and re adhered gravel surfaces at striping plies",EA,$0.00
Gravel Stop/Guard Membrane Failure,The gravel guard and the roofing membrane have become loose and/or completely detached. This is an emergency issue and needs to be repaired ASAP. Failing to repair this deficiency will lead to major roof leaks and roofing system failures.,"Cut away and remove the old/failing roofing membrane. Clean & prime the affected areas and metal edge. Install new modified bitumen material that extends 3-6"" onto roof to ensure water tightness.",Cut away and removed all of the old/failing roofing membrane from the affected areas. Properly cleaned and primed all areas and the metal edge. Installed a new modified bitumen membrane patch over the affected metal roof edge and extending 3-6' onto the field of the roof.,LF,$55.00
Gutters,Install new gutters painted to match existing trim/gutters/downspouts.,,,LF,$14.70
Hail Damage,"Depending upon the severity of the hail, the majority of roofing membrane can be damaged by this type of storm. These holes in the membrane will allow water directly into the roof system.",The hole caused by the hail must be repaired using manufacturer recommended materials and procedures to ensure a water tight seal.,,EA,$5.00
Hole in Metal Panel (small),"Small holes or punctures in the metal roofing panels can be treated, patched, and coated when addressed in a timely manner. Rust/oxidation are typically the cause of types of issues. Other possible causes include weather-related damage, foot traffic, mechanical/HVAC trade related work, bullets, or rooftop penetrations removed from the roof without proper termination/waterproofing.","Properly clean & remove any/all existing coatings, residue, dirt, and surface rust from the punctured area. Apply a new 3-course fabric reinforced white Karna-flex 502 coating to seal the punctured area.","Cleaned & removed any/all existing coatings, residue and dirt from the affected area. Applied new 3-course fabric reinforced white Karna-flex 502 coating to seal the punctured area.",EA,$350.00
Hole/Opening in Stack,Seal hole/opening in stack,Properly sealed the hole/opening in the stack.,Properly sealed the hole/opening in the stack.,EA,$0.00
HVAC Door,Resecure loose and missing HVAC access door,HVAC access door has been properly attached and secured.,HVAC access door has been properly attached and secured.,EA,$0.00
Improper Curb Flashing (large- mod),The existing roof penetration curb(s) have been improperly flashed/stripped into the roofing system. This issue needs to be addressed as soon as possible to prevent damaging water infiltration.,We will remove any/all damaged or failing curb flashing materials and ensure the affected area(s) are properly clean/prepped. We will then prime and install new modified bitumen membrane to the curb(s) and ensure a secure attachment.,Removed any/all failing curb flashing materials. Properly cleaned and primed the curb(s). Installed new modified bitumen membrane to the roof and to the curb(s) and ensured a secure/water tight seal.,EA,$455.00
Improper Curb Flashing (medium- mod),The existing roof penetration curb(s) have been improperly flashed/stripped into the roofing system. This issue needs to be addressed as soon as possible to prevent damaging water infiltration.,We will remove any/all damaged or failing curb flashing materials and ensure the affected area(s) are properly clean/prepped. We will then prime and install new modified bitumen membrane to the curb(s) and ensure a secure attachment.,Removed any/all failing curb flashing materials. Properly cleaned and primed the curb(s). Installed new modified bitumen membrane to the roof and to the curb(s) and ensured a secure/water tight seal.,EA,$355.00
Improper Curb Flashing (small- mod),The existing roof penetration curb(s) have been improperly flashed/stripped into the roofing system. This issue needs to be addressed as soon as possible to prevent damaging water infiltration.,We will remove any/all damaged or failing curb flashing materials and ensure the affected area(s) are properly clean/prepped. We will then prime and install new modified bitumen membrane to the curb(s) and ensure a secure attachment.,Removed any/all failing curb flashing materials. Properly cleaned and primed the curb(s). Installed new modified bitumen membrane to the roof and to the curb(s) and ensured a secure/water tight seal.,EA,$250.00
Improper Installation,The original installation of this detail was done improperly and not per industry standards.,Remove the existing detail and install a new detail per the industry and manufacturers recommendations and details.,,EA,$300.00
Install Walk Pad,"Install walk pad to prevent damage to roof area by equipment penetrations.
Must match manufacturer specifications.","Cut and install 30""x30"" walk pad",,EA,$150.00
Karnak - Cracks/Splits/Failures in Field (SF),Identified a (1 SF) area of the BUR roof that is failing in the field of the roofing system. [These deficiencies can be considered early warning signs of a roofing system that is near the end of its useful life-cycle],"Spud, clean, and prepare the entire area of failed BUR. Torch apply new modified bitumen membrane to patch and repair the failed area. Apply a 3-course Karnak Ultra-19 seal around the perimeter of the modified bitumen repair and along any new modified membrane seams. All exposed areas of Karnak will be covered with a top coat of white asphalt granules for added durability.",Spudded away the existing gravel from the entire affected area. Thoroughly prepared the repair area by clearing all remaining dirt and debris. Installed new torch applied modified bitumen membrane over the failed are of the built-up roof. Completely sealed around the perimeter and seams of the new modified bitumen membrane repair with a 3-course Karnak Ultra-19 seal. Applied white asphalt granules over the exposed Karnak seal for added durability.,SF,$95.48
Karnak - Failing Membrane Seams (LF),Identified a (1 LF) area of failing modified bitumen membrane seams. [These deficiencies on a modified bitumen roofing system are usually warning signs of a roofing system that is near the end of its useful life-cycle],"Clean & prepare the entire area of the failing modified bitumen membrane seams. Apply a multi-layer Karnak Ultra-19 repair. One (1) base layer of Karnak Ultra-19, one (1) layer of fiberglass reinforcement fabric, one (1) additional layer of Karnak Ultra-19, and a top coat of white asphalt granules for added durability, uniformity, and reflectivity.","Cleaned & prepared the failing modified bitumen membrane seams. Applied a base layer of Karnak Ultra-19 and embedded new fiberglass reinforcement fabric into the Karnak Ultra-19 base layer. After allowing the base layer and fabric time to cure, we applied a final layer of Karnak Ultra-19. Finally, we covered all of the repaired areas with a top coat of white asphalt granules.",LF,$65.39
Light Dirt & Debris,The surface of the TPO roofing membrane has a buildup of dirt & debris on the roof.,Pickup and sweep small debris and dirt. Bag up & dispose offsite. Use a broom and low powered blower to disperse any remaining light dirt.,,EA,$300.00
Lightweight Concrete,Inspect and locate areas of lightweight concrete that require removal/replacement.,Remove and replace areas of deficient lightweight concrete.,"Cut, inspected, removed and replaced areas of deficient lightweight concrete.",SF,$10.00
Membrane Damage,"Rip or tear in the roof membrane typically caused by foot traffic, or trade work.",The area surrounding the deficiency must be cleaned. A new piece of waterproofing membrane would be installed and sealed per industry standards.,,EA,$250.00
Membrane Fish Mouth,"Example of fish mouths on membrane laps that is allowing water
into the system.","We will cut the fish mouth out, clean and prime the area and
install new patch over effected area to ensure water tightness.",,EA,$250.00
Metal Coping - Protective Layer Failure,The protective layer that prevents oxidation/rust has failed and requires immediate attention. Failure to address this issue will lead to widespread rust and holes in the coping; resulting in leaks and replacement of the metal coping.,Properly clean all affected areas of the metal coping. Apply a new layer of Karnak primer & coating to provide lasting protection from the environment and extend the life of the coping.,Cleaned all affected metal coping areas. Applied a new protective layer of Karnak primer & coating.,LF,$25.00
Metal Work,Any lifted metal edges can allow water and debris to penetrate your commercial roofing system.,Inspect and seal and lifted edges on rooftop metal work.,,LF,$0.00
Missing Drain Cover,Either the original drain cover was never installed or the weather has blown it off the roof.,Install new drain cover per manufacturers recommendations and details.,,EA,$300.00
Missing Gutter Straps,The gutter straps have either been damaged due to weather or were never installed originally.,New gutter straps are to be installed per manufacturers recommendations and details.,,EA,$15.00
Missing Shingles & Rotted Support Beam,Missing or damaged shingles caused by hail and/or wind damage. Also wooden support beams has rotted away and the structure is in danger of collapse. These issues need to be repaired immediately.,Replace missing or damaged shingles and properly seal tie in areas. Properly detach and remove old rotten support beam and replace with treated new wood support beam. Paint wood support beam if needed.,,EA,$550.00
Open Flashing,"Open flashings can be caused by membrane shrinkage, insufficient counterflashing or the simple aging and failure of the original flashing to remain adhered to the wall.","Depending on the severity of the deterioration of the flashing, they either will need to be removed completely and new flashing installed or the existing flashing must be re-sealed to the wall and the tops of the flashings covered up.",,LF,$7.00
Open Gutter Joints,Gutter joints are open and leaking.,We will clean and secure all open joints and properly seal joints.,,EA,$25.00
Open Laps/Seams,"Due to building movement and overall age, the seams/laps between the metal panels have become separated (or lifted) and are open. Coating repairs are common for this type of deficiency but are only considered short term solutions. In most cases, once this issue begins, it will continue to reoccur and progress.","Completely clean & remove any existing coatings, residue and dirt from the affected areas. Apply new 3-course fabric reinforced white Karna-flex 502 coating to seal the area of open laps/seams.","Cleaned and removed all residue, coatings, and dirt from the affected areas. Applied new 3-course fabric reinforced white Karna-Flex 502 coating to properly seal the open laps/seams.",LF,$50.00
Open Seam(s),"Identified (2) open seams in the TPO roofing membrane. [Open seams in the roofing membrane are typically caused by failing seam adhesives coupled with building movement, membrane shrinkage, and stress on the seams.]",The TPO membrane surrounding the open seams must be properly cleaned. New TPO membrane will need to be installed and sealed with TPO cut edge sealant.,Properly cleaned the TPO membrane surrounding the open seams. Installed new TPO membrane patches and sealed with cut edge sealant.,LF,$50.00
Open Seams,Open seams in the waterproofing membrane are typically caused by failing seam adhesives coupled with membrane shrinkage and stress on the seams.,The area surrounding the open seam must be cleaned. A new piece of waterproofing membrane would be installed and sealed per industry standards.,,EA,$250.00
Open Wall Flashing,Repair open wall expansion flashing.,Properly repaired and sealed opening in the wall expansion flashing.,Properly repaired and sealed opening in the wall expansion flashing.,EA,$0.00
Open/Failing Base Wall Flashing Seam (1),Identified (1) open/failing seam in the modified bitumen base wall flashing membrane.,We will clean & prime the area surrounding the failed/open seam. Install new torch applied modified bitumen membrane patch and seal with asphalt based roofing cement.,Cleaned & primed the area surrounding the failed/open seam. Installed new torch applied modified bitumen patch and sealed with asphalt based roofing cement.,EA,$300.00
Open/Failing Base Wall Flashing Seam(s),Identified (2) open/failing seams in the modified bitumen base wall flashing membrane.,We will clean & prime the areas surrounding the failed/open seams. Install new torch applied modified bitumen membrane patches and seal with asphalt based roofing cement.,Cleaned & primed the areas surrounding the failed/open seams. Installed new torch applied modified bitumen patches and sealed with asphalt based roofing cement.,EA,$150.00
Organic Growth,"Organic growth is a sign that the underlying waterproofing membrane and roof system has become saturated, is holding water and certainly allowing water to enter the building.",This is a sign that a re-roof should be budgeted for. The area could also be spot replaced to remove the wet condition.,,EA,$400.00
Other,Other,Other,,EA,$0.00
Other Trade Related,Improper installation of plumbing / electrical / HVAC / ect. trade work. Which require the attention and repair of the specific trade for resolution of this deficiency.,Contact related trade professional.,,EA,$350.00
Owens Corning - Roof Replacement,"Owens Corning is the leader in laminated asphalt roofing shingles. Their roofing shingles offer the industries highest level of roofing protection.

Quote includes all of the listed items and options.

FSR Services will protect all landscaping and property. We will replace up to (3) sheets of rotten plywood at no charge. (additional plywood replacement will be extra)",,,EA,$0.00
Oxidation or Rust,"As the protective coating breaks down and the metal is exposed to the elements, oxidation or rust will take over and reduce the materials integrity.","Depending upon the level of corrosion, the metal may be able to be restored. In most cases the metal requires replacement.",,LF,$3.00
"Penetration - A/C Curb (UP TO 5'x8'x12"")","A/C Curb (UP TO 5'x8'x12"")","Cut out roof system down to the metal deck.
Mechanically attach roof curb (provided by others) to deck using screws. (spotted by others)
Insulate roof curb as needed. Strip into new roof with roof membrane.
METAL DECK CUT BY OTHERS (UNLESS SPECIFICALLY IDENTIFIED IN SCOPE)
EXLCUSIONS: FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$950.00
